iso;country;language;level;type;name;region1;region2;region3;region4;iso2;fips;nuts;hasc;stat
NG;Nigeria;EN;3;Areas;Southern Afaha;Akwa Ibom;Ukanafun;Southern Afaha;-;NG-AK;NI21;;NG.AK.UK;03028
NG;Nigeria;EN;3;Areas;Southern Etung;Cross River;Boki;Southern Etung;-;NG-CR;NI22;;NG.CR.BO;09007
NG;Nigeria;EN;3;Areas;Southern Iman;Akwa Ibom;Etinan;Southern Iman;-;NG-AK;NI21;;NG.AK.ET;03007
NG;Nigeria;EN;3;Areas;Southern Ukanafun;Akwa Ibom;Ukanafun;Southern Ukanafun;-;NG-AK;NI21;;NG.AK.UK;03028
NG;Nigeria;EN;3;Areas;Southern Uruan;Akwa Ibom;Uruan;Southern Uruan;-;NG-AK;NI21;;NG.AK.UR;03029
NG;Nigeria;EN;3;Areas;South Ibie;Edo;Etsako West;South Ibie;-;NG-ED;NI37;;NG.ED.EO;12009
NG;Nigeria;EN;3;Areas;South Oban-Liku;Cross River;Obudu;South Oban-Liku;-;NG-CR;NI22;;NG.CR.OU;09014
NG;Nigeria;EN;3;Areas;South Ukele;Cross River;Bekwarra;South Ukele;-;NG-CR;NI22;;NG.CR.BE;09005
NG;Nigeria;EN;3;Areas;South Uneme;Edo;Etsako Central;South Uneme;-;NG-ED;NI37;;NG.ED.ET;12007
NG;Nigeria;EN;3;Areas;Soye;Borno;Bama;Soye;-;NG-BO;NI27;;NG.BO.BM;103
NG;Nigeria;EN;3;Areas;Sugu;Adamawa;Ganye;Sugu;-;NG-AD;NI35;;NG.AD.GA;02003
NG;Nigeria;EN;3;Areas;Sukur;Adamawa;Madagali;Sukur;-;NG-AD;NI35;;NG.AD.MD;02010
NG;Nigeria;EN;3;Areas;Suleja;Niger;Suleja;Suleja;-;NG-NI;NI31;;NG.NI.SU;27023
NG;Nigeria;EN;3;Areas;Sule Tankar-Kar;Jigawa;Sule Tankarkar;Sule Tankar-Kar;-;NG-JI;NI39;;NG.JI.ST;18030
NG;Nigeria;EN;3;Areas;Sumaila;Kano;Sumaila;Sumaila;-;NG-KN;NI29;;NG.KN.SU;20011
NG;Nigeria;EN;3;Areas;Supare-Akoko;Ondo;Akoko South-East;Supare-Akoko;-;NG-ON;NI48;;NG.ON.AE;29003
NG;Nigeria;EN;3;Areas;Suwa;Adamawa;Lamurde;Suwa;-;NG-AD;NI35;;NG.AD.LA;02009
NG;Nigeria;EN;3;Areas;Swa;Gombe;Balanga;Swa;-;NG-GO;NI55;;NG.GO.BA;16002
NG;Nigeria;EN;3;Areas;Tabanni;Kaduna;Birnin Gwari;Tabanni;-;NG-KD;NI23;;NG.KD.BG;19001
NG;Nigeria;EN;3;Areas;Tafan;Kaduna;Kaura;Tafan;-;NG-KD;NI23;;NG.KD.KA;19013
NG;Nigeria;EN;3;Areas;Tai;Rivers;Tai;Tai;-;NG-RI;NI50;;NG.RI.TA;33023
NG;Nigeria;EN;3;Areas;Takai;Kano;Takai;Takai;-;NG-KN;NI29;;NG.KN.TK;20002
NG;Nigeria;EN;3;Areas;Takau;Kaduna;Jema'a;Takau;-;NG-KD;NI23;;NG.KD.JE;19007
NG;Nigeria;EN;3;Areas;Takum;Yobe;Bade;Takum;-;NG-YO;NI44;;NG.YO.BA;701
NG;Nigeria;EN;3;Areas;Tal;Plateau;Kanke;Tal;-;NG-PL;NI49;;NG.PL.KK;32008
NG;Nigeria;EN;3;Areas;Talasse;Gombe;Balanga;Talasse;-;NG-GO;NI55;;NG.GO.BA;16002
NG;Nigeria;EN;3;Areas;Tama;Bauchi;Toro;Tama;-;NG-BA;NI46;;NG.BA.TO;05018
NG;Nigeria;EN;3;Areas;Tambawal;Sokoto;Tambuwal;Tambawal;-;NG-SO;NI51;;NG.SO.TW;618
NG;Nigeria;EN;3;Areas;Tangaza;Sokoto;Tangaza;Tangaza;-;NG-SO;NI51;;NG.SO.TZ;619
NG;Nigeria;EN;3;Areas;Tapa;Oyo;Ibarapa North;Tapa;-;NG-OY;NI32;;NG.OY.IP;31013
NG;Nigeria;EN;3;Areas;Tapa;Niger;Tafa;Tapa;-;NG-NI;NI31;;NG.NI.TA;27024
NG;Nigeria;EN;3;Areas;Tarakiri;Delta;Bomadi;Tarakiri;-;NG-DE;NI36;;NG.DE.BO;10003
NG;Nigeria;EN;3;Areas;Tarauni (Rural);Kano;Tarauni;Tarauni (Rural);-;NG-KN;NI29;;NG.KN.TR;20001
NG;Nigeria;EN;3;Areas;Tari;Kaduna;Sanga;Tari;-;NG-KD;NI23;;NG.KD.SA;19020
NG;Nigeria;EN;3;Areas;Tarmuwa;Zamfara;Anka;Tarmuwa;-;NG-ZA;NI57;;NG.ZA.AN;801
NG;Nigeria;EN;3;Areas;Tata;Ogun;Abeokuta North;Tata;-;NG-OG;NI16;;NG.OG.AN;28001
NG;Nigeria;EN;3;Areas;Taura;Jigawa;Taura;Taura;-;NG-JI;NI39;;NG.JI.TA;18002
NG;Nigeria;EN;3;Areas;Tauya;Bauchi;Darazo;Tauya;-;NG-BA;NI46;;NG.BA.DZ;05005
NG;Nigeria;EN;3;Areas;Tegina;Niger;Rafi;Tegina;-;NG-NI;NI31;;NG.NI.RA;27020
NG;Nigeria;EN;3;Areas;Tekunle;Ondo;Ondo West;Tekunle;-;NG-ON;NI48;;NG.ON.OW;29016
NG;Nigeria;EN;3;Areas;Telemu;Osun;Ola Oluwa;Telemu;-;NG-OS;NI42;;NG.OS.OL;30026
NG;Nigeria;EN;3;Areas;Temidire Layout;Oyo;Itesiwaju;Temidire Layout;-;NG-OY;NI32;;NG.OY.IT;31017
NG;Nigeria;EN;3;Areas;Tenidire;Ondo;Ile Oluji/Okeigbo;Tenidire;-;NG-ON;NI48;;NG.ON.IO;29011
NG;Nigeria;EN;3;Areas;Three Ibies;Edo;Etsako Central;Three Ibies;-;NG-ED;NI37;;NG.ED.ET;12007
NG;Nigeria;EN;3;Areas;Tilai;Bauchi;Toro;Tilai;-;NG-BA;NI46;;NG.BA.TO;05018
NG;Nigeria;EN;3;Areas;Tilden Fulani;Bauchi;Toro;Tilden Fulani;-;NG-BA;NI46;;NG.BA.TO;05018
NG;Nigeria;EN;3;Areas;Timbol;Plateau;Langtang South;Timbol;-;NG-PL;NI49;;NG.PL.LS;32010
NG;Nigeria;EN;3;Areas;Timdore;Adamawa;Ganye;Timdore;-;NG-AD;NI35;;NG.AD.GA;02003
NG;Nigeria;EN;3;Areas;Tofa;Kano;Tofa;Tofa;-;NG-KN;NI29;;NG.KN.TO;20015
NG;Nigeria;EN;3;Areas;Toff;Plateau;Bokkos;Toff;-;NG-PL;NI49;;NG.PL.BO;32003
NG;Nigeria;EN;3;Areas;Tongov;Benue;Logo;Tongov;-;NG-BE;NI26;;NG.BE.LO;07012
NG;Nigeria;EN;3;Areas;Toro;Bauchi;Toro;Toro;-;NG-BA;NI46;;NG.BA.TO;05018
NG;Nigeria;EN;3;Areas;Torov;Benue;Logo;Torov;-;NG-BE;NI26;;NG.BE.LO;07012
